Year,Zone,Vaccine,# Immunized,# Eligible,% Coverage,95% CI,Year_Start,Gap_From_Target,Gap_Percentage_Points,Meets_Target,# Unvaccinated
2016-17,WESTERN,MEN-C-ACYW-135,1684,1778,0.9470000000000001,93.6-95.7,2016,0.0029999999999998916,0.29999999999998916,False,94
2016-17,WESTERN,HBV - Dose 1,1571,1778,0.884,86.8-89.8,2016,0.06599999999999995,6.599999999999994,False,207
2016-17,WESTERN,HBV - Dose 2,1333,1778,0.75,72.9-76.9,2016,0.19999999999999996,19.999999999999996,False,445
2016-17,WESTERN,HPV - Dose 1,1559,1778,0.877,86.1-89.1,2016,0.07299999999999995,7.299999999999995,False,219
2016-17,WESTERN,HPV - Dose 2,1385,1778,0.779,75.9-79.8,2016,0.17099999999999993,17.099999999999994,False,393
2016-17,NORTHERN,TDAP,1389,1424,0.975,96.6-98.2,2016,-0.025000000000000022,-2.500000000000002,True,35
2016-17,NORTHERN,MEN-C-ACYW-135,1424,1424,1.0,99.7-100.0,2016,-0.050000000000000044,-5.000000000000004,True,0
2016-17,NORTHERN,HBV - Dose 1,1367,1424,0.96,94.8-96.9,2016,-0.010000000000000009,-1.0000000000000009,True,57
2016-17,NORTHERN,HBV - Dose 2,1206,1424,0.847,82.7-86.5,2016,0.10299999999999998,10.299999999999997,False,218
2016-17,NORTHERN,HPV - Dose 1,1357,1424,0.953,94.1-96.3,2016,-0.0030000000000000027,-0.30000000000000027,True,67
2016-17,NORTHERN,HPV - Dose 2,1227,1424,0.862,84.3-87.9,2016,0.08799999999999997,8.799999999999997,False,197
2016-17,EASTERN,TDAP,1366,1611,0.848,83.0-86.5,2016,0.10199999999999998,10.199999999999998,False,245
2016-17,EASTERN,MEN-C-ACYW-135,1433,1611,0.89,87.3-90.4,2016,0.05999999999999994,5.999999999999995,False,178
2016-17,EASTERN,HBV - Dose 1,1362,1611,0.845,82.7-86.2,2016,0.10499999999999998,10.499999999999998,False,249
2016-17,EASTERN,HBV - Dose 2,1205,1611,0.748,72.6-76.9,2016,0.20199999999999996,20.199999999999996,False,406
2016-17,EASTERN,HPV - Dose 1,1371,1611,0.851,83.3-86.8,2016,0.09899999999999998,9.899999999999999,False,240
2016-17,EASTERN,HPV - Dose 2,1243,1611,0.772,75.0-79.1,2016,0.17799999999999994,17.799999999999994,False,368
2016-17,CENTRAL,TDAP,4071,4284,0.95,94.3-95.6,2016,0.0,0.0,True,213
2016-17,CENTRAL,MEN-C-ACYW-135,3991,4284,0.932,92.4-93.9,2016,0.017999999999999905,1.7999999999999905,False,293
2016-17,CENTRAL,HBV - Dose 1,3656,4284,0.853,84.2-86.4,2016,0.09699999999999998,9.699999999999998,False,628
2016-17,CENTRAL,HBV - Dose 2,2959,4284,0.691,67.7-70.4,2016,0.259,25.900000000000002,False,1325
2016-17,CENTRAL,HPV - Dose 1,3865,4284,0.902,89.3-91.1,2016,0.04799999999999993,4.799999999999994,False,419
2016-17,CENTRAL,HPV - Dose 2,3329,4284,0.777,76.4-78.9,2016,0.17299999999999993,17.299999999999994,False,955
2016-17,NOVA SCOTIA,TDAP,8443,9097,0.9279999999999999,92.3-93.3,2016,0.02200000000000002,2.200000000000002,False,654
2016-17,NOVA SCOTIA,MEN-C-ACYW-135,8541,9097,0.9390000000000001,93.4-94.4,2016,0.010999999999999899,1.0999999999999899,False,556
2016-17,NOVA SCOTIA,HBV - Dose 1,7956,9097,0.875,86.8-88.1,2016,0.07499999999999996,7.499999999999996,False,1141
2016-17,NOVA SCOTIA,HBV - Dose 2,6703,9097,0.737,72.8-74.6,2016,0.21299999999999997,21.299999999999997,False,2394
2016-17,NOVA SCOTIA,HPV - Dose 1,8152,9097,0.8959999999999999,89.0-90.2,2016,0.05400000000000005,5.400000000000005,False,945
2016-17,NOVA SCOTIA,HPV - Dose 2,7184,9097,0.79,78.1-79.8,2016,0.15999999999999992,15.999999999999993,False,1913
2015-16,WESTERN,TDAP,1938,2107,0.92,90.8-93.1,2015,0.029999999999999916,2.9999999999999916,False,169
2015-16,WESTERN,MEN-C-ACYW-135,1956,2107,0.9279999999999999,91.7-93.9,2015,0.02200000000000002,2.200000000000002,False,151
2015-16,WESTERN,HBV - Dose 1,1796,2107,0.852,83.7-86.7,2015,0.09799999999999998,9.799999999999997,False,311
2015-16,WESTERN,HBV - Dose 2,1584,2107,0.752,73.3-77.0,2015,0.19799999999999995,19.799999999999997,False,523
2015-16,WESTERN,HPV - Dose 1,1799,2107,0.8540000000000001,83.8-86.8,2015,0.09599999999999986,9.599999999999987,False,308
2015-16,WESTERN,HPV - Dose 2,1629,2107,0.773,75.5-79.1,2015,0.17699999999999994,17.699999999999992,False,478
2015-16,NORTHERN,TDAP,1621,1698,0.955,94.4-96.4,2015,-0.0050000000000000044,-0.5000000000000004,True,77
2015-16,NORTHERN,MEN-C-ACYW-135,1647,1698,0.97,96.1-97.7,2015,-0.020000000000000018,-2.0000000000000018,True,51
2015-16,NORTHERN,HBV - Dose 1,1553,1698,0.915,90.1-92.7,2015,0.03499999999999992,3.499999999999992,False,145
2015-16,NORTHERN,HBV - Dose 2,1432,1698,0.843,92.0-94.4,2015,0.10699999999999998,10.7,False,266
2015-16,NORTHERN,HPV - Dose 1,1543,1698,0.909,89.4-92.2,2015,0.040999999999999925,4.0999999999999925,False,155
2015-16,NORTHERN,HPV - Dose 2,1456,1698,0.857,84.0-87.3,2015,0.09299999999999997,9.299999999999997,False,242
2015-16,EASTERN,TDAP,1551,1746,0.888,87.3-90.2,2015,0.061999999999999944,6.199999999999994,False,195
2015-16,EASTERN,MEN-C-ACYW-135,1584,1746,0.907,89.3-92.0,2015,0.04299999999999993,4.299999999999993,False,162
2015-16,EASTERN,HBV - Dose 1,1513,1746,0.867,85.0-88.2,2015,0.08299999999999996,8.299999999999997,False,233
2015-16,EASTERN,HBV - Dose 2,1365,1746,0.782,76.2-80.1,2015,0.16799999999999993,16.799999999999994,False,381
2015-16,EASTERN,HPV - Dose 1,1517,1746,0.8690000000000001,85.2-88.4,2015,0.08099999999999985,8.099999999999985,False,229
2015-16,EASTERN,HPV - Dose 2,1387,1746,0.794,77.5-81.3,2015,0.15599999999999992,15.59999999999999,False,359
2015-16,CENTRAL,TDAP,4487,4702,0.9540000000000001,94.8-96.0,2015,-0.004000000000000115,-0.40000000000001146,True,215
2015-16,CENTRAL,MEN-C-ACYW-135,4497,4702,0.956,95.0-96.2,2015,-0.006000000000000005,-0.6000000000000005,True,205
2015-16,CENTRAL,HBV - Dose 1,4123,4702,0.877,86.7-88.6,2015,0.07299999999999995,7.299999999999995,False,579
2015-16,CENTRAL,HBV - Dose 2,3548,4702,0.755,74.2-76.7,2015,0.19499999999999995,19.499999999999996,False,1154
2015-16,CENTRAL,HPV - Dose 1,4311,4702,0.917,90.9-92.4,2015,0.03299999999999992,3.299999999999992,False,391
2015-16,CENTRAL,HPV - Dose 2,3822,4702,0.813,80.1-82.4,2015,0.137,13.700000000000001,False,880
2015-16,NOVA SCOTIA,TDAP,9597,10253,0.9359999999999999,93.1-94.1,2015,0.014000000000000012,1.4000000000000012,False,656
